domain,nr_of_mlists,nr_of_localparts
163.com,18,27
3gpp.org,20,27
alcatel-lucent.com,30,190
alcatel-lucent.fr,13,28
alcatel.fr,22,128
am1.ericsson.se,11,28
anite.com,12,48
anritsu.com,14,50
apple.com,35,124
arib.or.jp,10,27
att.com,53,143
attws.com,17,40
blackberry.com,37,75
broadcom.com,26,77
bt.com,29,91
catt.cn,44,155
charter.com,18,31
chinamobile.com,51,234
chinatelecom.cn,23,72
chinaunicom.cn,26,58
cingular.com,20,50
cisco.com,23,96
datangmobile.cn,16,69
docomolab-euro.com,12,29
email.mot.com,15,38
era.ericsson.se,18,119
ericsson.com,80,820
etri.re.kr,11,52
etsi.fr,23,153
etsi.org,74,383
francetelecom.com,22,48
futurewei.com,14,42
gb.vodafone.co.uk,12,32
gmail.com,42,283
hotmail.com,19,41
huawei.com,77,875
icn.siemens.de,18,91
iis.fraunhofer.de,9,30
infineon.com,17,32
intel.com,58,251
interdigital.com,40,118
itri.org.tw,11,29
jp.fujitsu.com,20,42
jp.panasonic.com,16,31
kddi.com,16,46
keysight.com,17,39
lenovo.com,14,42
lge.com,48,222
lucent.com,19,111
mch.siemens.de,12,32
mediatek.com,42,139
motorola.com,54,338
motorolasolutions.com,24,65
neclab.eu,16,28
nokia.com,80,745
nortel.com,22,69
nortelnetworks.com,17,100
nsn.com,29,167
nttdocomo.co.jp,22,91
nttdocomo.com,36,128
o2.com,20,34
oppo.com,32,90
orange-ftgroup.com,14,60
orange.com,52,106
philips.com,24,53
qti.qualcomm.com,69,373
qualcomm.com,32,195
renesasmobile.com,21,51
rim.com,26,113
rohde-schwarz.com,24,95
roke.co.uk,13,44
rsd.rohde-schwarz.com,11,32
samsung.com,65,408
sasken.com,16,63
siemens.at,11,30
siemens.com,30,174
sony.com,16,48
spirent.com,23,32
sprint.com,21,40
stericsson.com,15,30
t-mobile.at,13,30
t-mobile.com,29,54
t-mobile.de,15,26
team.telstra.com,14,26
telecomitalia.it,38,82
telefonica.com,21,30
telekom.de,27,53
telia.se,17,50
teliasonera.com,23,50
tencent.com,14,28
three.co.uk,14,26
tilab.com,14,29
tno.nl,21,45
unisoc.com,7,28
verizonwireless.com,24,48
vf.vodafone.co.uk,20,60
vivo.com,24,87
vodafone.com,58,224
xiaomi.com,10,37
yahoo.com,17,40
zte.com.cn,51,290
